Sport,Cases,ano
Aquatics,39,2018
Bodybuilding,261,2018
Cycling,221,2018
Athletics,193,2018
Powerlifting,164,2018
Weightlifting,157,2018
Wrestling,67,2018
Rugby Union,57,2018
Boxing,57,2018
Football,56,2018
Aquatics,32,2017
Bodybuilding,266,2017
Cycling,218,2017
Athletics,242,2017
Powerlifting,101,2017
Weightlifting,123,2017
Wrestling,57,2017
Rugby Union,54,2017
Boxing,49,2017
Football,78,2017
Aquatics,35,2016
Bodybuilding,183,2016
Cycling,165,2016
Athletics,205,2016
Powerlifting,70,2016
Weightlifting,116,2016
Wrestling,64,2016
Rugby Union,56,2016
Boxing,35,2016
Football,79,2016
Aquatics,26,2015
Bodybuilding,270,2015
Cycling,200,2015
Athletics,242,2015
Powerlifting,110,2015
Weightlifting,239,2015
Wrestling,57,2015
Rugby Union,80,2015
Boxing,66,2015
Football,108,2015
Aquatics,32,2014
Bodybuilding,225,2014
Cycling,168,2014
Athletics,248,2014
Powerlifting,116,2014
Weightlifting,143,2014
Wrestling,56,2014
Rugby Union,40,2014
Boxing,49,2014
Football,80,2014
